Customer Loyalty ID,Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Indicator
343102,F,North,Platinum,27,D,N West,5,62,7,0
345474,F,South East,Silver,23,C,S & S East,3,46,10,0
345865,M,North,Gold,38,E,Yorkshire,10,39,2,1
346225,M,South East,Silver,36,E,S & S East,6,53,6,1
346403,U,Midlands,Tin,27,D,Midlands,10,0,5,0
347086,F,South East,Silver,21,C,London,7,48,4,0
347531,F,South East,Gold,12,B,S & S East,7,62,11,0
349291,M,South East,Silver,12,B,London,9,26,1,0
349739,F,North,Silver,41,E,N East,7,0,5,0
351482,F,South West,Gold,41,E,S West,6,43,2,0
356425,F,Midlands,Gold,41,E,Midlands,7,78,5,0
356719,F,Midlands,Gold,19,C,East,3,67,3,0
357898,F,North,Tin,27,D,N West,2,45,5,0
358649,U,Scottish,Tin,32,D,C Scotland,10,60,5,0
359955,F,South East,Gold,44,E,London,13,68,6,0
361283,U,South East,Platinum,4,A,S & S East,14,74,3,0
362468,M,Midlands,Tin,35,D,Midlands,5,53,8,0
369225,M,Scottish,Silver,23,C,C Scotland,5,51,8,0
369780,F,South East,Platinum,4,A,S & S East,9,0,1,0
370398,F,South East,Silver,52,F,S & S East,6,51,1,0
370622,U,South East,Silver,4,A,S & S East,5,51,2,0
371475,M,South East,Tin,21,C,London,11,36,4,0
374644,F,Midlands,Gold,49,F,Wales & West,8,63,2,0
375330,F,South East,Silver,16,C,S & S East,8,69,9,0
376078,F,Midlands,Tin,32,D,Midlands,11,40,5,1
380113,F,Midlands,Silver,45,E,Wales & West,4,46,11,0
393347,M,South East,Tin,34,D,S & S East,0,46,8,0
396192,F,South East,Silver,4,A,S & S East,8,46,11,1
397407,F,North,Tin,35,D,N West,9,38,5,1
397660,M,North,Gold,52,F,N West,4,67,5,0
400297,U,North,Platinum,53,F,Yorkshire,11,73,4,0
403768,F,Scottish,Gold,11,B,Border,5,53,8,0
407364,F,Midlands,Silver,37,E,Midlands,6,55,4,1
408964,F,South East,Silver,4,A,London,9,54,8,0
414832,M,South East,Tin,52,F,London,6,45,5,0
418943,M,U,Tin,25,C,Unknown,10,39,4,1
421979,F,North,Silver,38,E,N West,5,58,4,0
423211,F,North,Tin,35,D,N East,8,33,5,1
434671,M,South East,Tin,27,D,London,11,35,8,1
435961,M,North,Gold,4,A,Yorkshire,4,71,12,0
439088,M,Scottish,Tin,15,B,Border,10,55,4,0
442542,M,South West,Silver,27,D,S West,0,57,11,0
454702,M,South East,Gold,5,B,London,13,53,5,0
462705,F,South East,Silver,44,E,London,9,58,19,0
467812,M,North,Tin,20,C,Yorkshire,13,43,5,0
473596,F,South East,Tin,32,D,London,8,47,5,0
479403,M,South East,Gold,18,C,S & S East,4,74,2,0
481572,M,North,Silver,38,E,N East,10,49,1,0
486701,F,South East,Silver,27,D,S & S East,9,58,9,0
492566,F,Midlands,Tin,27,D,Midlands,8,56,8,0
498300,F,South East,Gold,14,B,S & S East,5,47,1,0
500100,F,Midlands,Silver,52,F,Midlands,14,30,1,1
502316,F,South East,Platinum,30,D,S & S East,3,68,4,1
503053,F,North,Silver,35,D,N West,8,45,4,0
518069,F,South East,Gold,4,A,London,7,71,6,0
523259,F,South East,Gold,28,D,S & S East,10,65,8,0
528102,F,South East,Gold,24,C,London,10,74,5,0
530042,F,North,Tin,32,D,N West,10,43,5,1
532479,F,South West,Silver,42,E,S West,11,44,9,0
543004,U,South East,Silver,48,F,London,9,65,5,0
543683,M,South East,Gold,28,D,S & S East,7,46,12,0
553115,F,Midlands,Silver,52,F,Midlands,8,29,12,0
580287,F,Midlands,Tin,20,C,Wales & West,7,53,5,1
588784,M,Midlands,Silver,37,E,Midlands,9,64,12,0
595233,M,South East,Silver,30,D,S & S East,10,49,5,1
598453,F,South East,Gold,51,F,London,17,59,8,1
600504,F,North,Tin,52,F,N West,8,37,5,0
601969,U,South East,Gold,14,B,London,5,60,2,0
602906,U,North,Tin,52,F,Yorkshire,10,64,4,0
604011,F,North,Silver,16,C,N West,3,0,4,0
606316,F,South East,Silver,26,C,London,15,51,8,1
607118,F,Midlands,Tin,U,Unknown,Midlands,8,47,5,0
607444,F,Midlands,Silver,11,B,Wales & West,18,51,3,0
608378,F,Scottish,Silver,34,D,C Scotland,5,58,11,0
610283,M,South East,Tin,1,A,London,9,46,9,0
611662,U,South East,Tin,31,D,London,5,48,5,0
618284,F,Midlands,Silver,41,E,East,15,0,0,1
621358,F,Midlands,Gold,19,C,Midlands,4,61,1,0
630888,F,Midlands,Tin,17,C,Midlands,9,38,5,1
633380,M,South East,Gold,41,E,S & S East,7,68,6,0
633542,F,Midlands,Gold,53,F,Wales & West,12,76,2,0
641022,F,North,Tin,32,D,Yorkshire,4,56,8,0
642568,M,North,Silver,2,A,N East,8,73,1,1
649007,F,Midlands,Tin,33,D,Midlands,8,37,9,1
653500,F,Midlands,Silver,25,C,Midlands,0,32,1,1
663603,F,South East,Silver,1,A,London,11,74,4,0
666238,M,North,Gold,30,D,Yorkshire,9,65,0,0
667692,F,Midlands,Silver,37,E,Midlands,5,60,2,0
669067,F,Scottish,Silver,30,D,C Scotland,10,35,4,0
672785,F,Scottish,Gold,23,C,N Scot,6,46,1,0
674885,F,South East,Gold,37,E,London,3,46,5,0
682144,F,South East,Platinum,41,E,London,5,70,0,0
691178,M,Midlands,Gold,U,Unknown,Ulster,9,37,11,1
693847,U,South East,Gold,8,B,S & S East,4,46,3,0
708569,U,Scottish,Silver,43,E,C Scotland,3,68,18,0
711616,U,Midlands,Platinum,8,B,Midlands,10,0,4,0
714054,U,Midlands,Silver,32,D,Wales & West,11,0,5,0
723185,F,South East,Silver,37,E,London,12,49,3,0
734446,F,Midlands,Silver,38,E,Midlands,4,63,7,0
741779,U,Midlands,Silver,8,B,Midlands,4,62,5,0
742880,F,South East,Gold,37,E,S & S East,5,0,7,1
745421,U,Midlands,Silver,34,D,East,5,62,8,0
749044,U,North,Gold,22,C,N East,5,74,1,0
750840,F,South East,Tin,U,Unknown,S & S East,5,52,5,0
755931,F,North,Tin,10,B,N West,0,42,4,0
760641,U,Midlands,Gold,28,D,Midlands,8,74,17,1
764876,F,South East,Tin,32,D,S & S East,7,43,5,0
770264,F,South East,Gold,25,C,London,8,64,2,0
775258,F,North,Silver,44,E,N West,12,31,9,0
778176,F,North,Silver,27,D,N East,11,41,5,0
779199,F,Midlands,Tin,51,F,Wales & West,9,45,8,0
794872,U,South East,Gold,25,C,London,8,67,2,0
795267,F,South East,Silver,1,A,London,17,0,13,1
796026,F,South East,Tin,21,C,London,9,40,5,0
802069,F,South East,Gold,5,B,S & S East,7,70,2,0
804061,F,South East,Silver,16,C,S & S East,20,0,1,1
806994,U,Midlands,Tin,52,F,Midlands,6,56,5,0
807877,F,South East,Gold,13,B,London,0,0,1,0
811831,U,North,Tin,52,F,Yorkshire,15,32,5,1
819301,M,Midlands,Silver,U,Unknown,Ulster,10,51,6,0
823066,U,South East,Silver,10,B,London,8,65,7,0
823961,F,Midlands,Gold,51,F,Wales & West,8,52,2,0
826758,F,Scottish,Gold,25,C,C Scotland,8,0,2,1
827614,F,South East,Tin,38,E,S & S East,6,38,9,1
830380,F,South East,Silver,32,D,London,8,43,10,0
835404,M,North,Tin,44,E,N West,7,37,5,0
836222,M,Scottish,Tin,22,C,N Scot,7,42,5,0
841013,U,Midlands,Gold,2,A,Midlands,4,22,3,0
842486,U,Midlands,Tin,44,E,East,8,31,8,0
848085,F,North,Silver,6,B,N West,15,33,7,1
851396,M,South East,Silver,51,F,London,9,0,7,0
853291,U,Midlands,Silver,49,F,Midlands,8,31,1,0
856916,M,Scottish,Gold,34,D,C Scotland,8,54,8,0
861820,F,South East,Silver,18,C,S & S East,5,54,2,0
870307,M,North,Gold,10,B,Yorkshire,9,53,3,0
871095,F,North,Tin,53,F,Yorkshire,16,37,5,1
875694,U,South West,Gold,28,D,S West,8,63,2,0
876623,M,North,Tin,U,Unknown,N West,3,33,5,0
878812,F,South East,Tin,12,B,London,7,65,8,0
889199,F,Midlands,Silver,38,E,Midlands,14,39,10,1
897485,F,Scottish,Gold,47,F,C Scotland,9,42,2,1
899186,M,North,Silver,37,E,Yorkshire,6,67,8,0
903191,F,Midlands,Tin,52,F,Midlands,11,43,5,1
908584,M,North,Gold,23,C,N West,9,0,6,0
909459,F,South East,Silver,19,C,S & S East,8,50,9,0
910007,U,Midlands,Gold,8,B,Midlands,5,70,5,0
918237,F,Midlands,Tin,28,D,Midlands,13,58,8,0
919551,F,U,Tin,U,Unknown,Unknown,13,50,5,1
922366,F,Midlands,Silver,U,Unknown,Ulster,7,78,5,0
929506,M,Midlands,Gold,12,B,East,5,79,8,0
935530,F,South East,Silver,1,A,London,8,68,8,1
943517,F,South East,Silver,1,A,London,9,48,8,0
946311,M,South East,Silver,20,C,London,9,0,3,0
950033,M,South West,Silver,51,F,S West,12,35,5,0
951897,F,Midlands,Tin,34,D,East,9,38,4,1
952729,M,North,Gold,17,C,N West,11,42,5,0
956155,M,North,Silver,17,C,N West,14,50,4,0
956635,M,North,Tin,22,C,N West,4,63,5,1
963194,F,South East,Gold,20,C,London,9,75,1,0
966932,F,South East,Silver,29,D,London,8,50,8,0
985295,F,South East,Tin,34,D,London,2,58,8,0
994332,F,Midlands,Silver,U,Unknown,Ulster,8,66,8,0
997684,F,South East,Silver,48,F,London,6,54,11,0
1002422,F,North,Tin,35,D,N West,7,54,5,0
1003402,F,South East,Tin,53,F,London,18,38,6,1
1004301,M,Midlands,Gold,53,F,East,6,0,2,0
1008129,M,South East,Silver,24,C,London,8,55,5,0
1009060,M,Scottish,Tin,38,E,C Scotland,8,52,4,0
1009931,F,Midlands,Silver,32,D,Midlands,11,59,2,0
1011243,M,South West,Silver,49,F,S West,6,63,2,1
1011669,M,North,Tin,38,E,N West,15,47,6,0
1012509,F,South East,Tin,51,F,London,6,44,8,0
1013394,F,South East,Tin,4,A,London,7,39,7,0
1018361,U,Midlands,Gold,4,A,Midlands,5,72,2,0
1022334,M,Midlands,Tin,47,F,Wales & West,8,38,5,0
1024248,F,South East,Tin,30,D,S & S East,13,72,8,0
1029592,M,South East,Tin,27,D,London,11,0,4,1
1030302,U,Scottish,Silver,49,F,Border,6,76,8,0
1036084,U,North,Silver,32,D,N East,11,50,8,0
1040227,F,Midlands,Gold,19,C,Wales & West,7,66,8,0
1040944,U,South East,Tin,38,E,London,6,51,5,0
1041231,U,Midlands,Gold,19,C,Midlands,7,61,0,0
1043773,U,Midlands,Tin,25,C,Midlands,3,63,8,0
1054015,F,South East,Gold,51,F,London,6,78,5,0
1055682,M,Midlands,Gold,15,B,East,9,55,2,0
1060228,M,Midlands,Gold,53,F,Midlands,7,49,3,0
1061348,U,South East,Silver,5,B,London,13,70,8,0
1068601,F,Midlands,Tin,32,D,Midlands,6,45,4,0
1070037,F,Scottish,Silver,52,F,C Scotland,5,73,32,0
1070460,F,South East,Platinum,4,A,London,8,71,4,1
1072773,F,South East,Gold,27,D,London,14,52,5,0
1080016,F,Midlands,Tin,34,D,East,11,52,0,0
1083767,F,U,Silver,52,F,Unknown,9,64,1,0
1084607,F,Midlands,Gold,16,C,Midlands,9,57,7,0
1087452,F,Midlands,Silver,44,E,Midlands,6,0,27,0
1091085,M,North,Gold,27,D,N West,10,63,4,0
1094955,F,Midlands,Tin,41,E,Midlands,0,32,4,1
1097474,M,North,Tin,24,C,N West,20,39,8,1
1098918,F,Midlands,Tin,22,C,Midlands,7,35,4,1
1101579,F,Midlands,Silver,48,F,Wales & West,8,58,9,0
1103288,F,Midlands,Tin,23,C,Midlands,10,40,4,1
1104136,M,South East,Silver,25,C,S & S East,13,0,5,1
1108646,F,South East,Gold,3,A,London,9,61,11,0
1111434,F,North,Silver,25,C,N West,13,70,11,0
1115014,F,Midlands,Gold,31,D,Midlands,12,0,11,0
1117629,F,Midlands,Tin,35,D,Midlands,7,0,8,0
1128353,F,North,Silver,52,F,N West,5,70,5,0
1131451,F,Midlands,Gold,3,A,Wales & West,6,60,4,0
1134051,F,South East,Silver,6,B,S & S East,14,77,11,0
1135724,F,South East,Silver,42,E,S & S East,10,74,12,0
1136585,F,Midlands,Silver,33,D,Wales & West,7,67,5,0
1137492,M,Midlands,Gold,27,D,Midlands,7,51,11,1
1138235,F,Midlands,Silver,25,C,Midlands,18,37,8,1
1143662,U,North,Gold,52,F,N West,8,35,5,0
1150820,F,Scottish,Gold,20,C,N Scot,5,58,22,0
1151037,F,South East,Silver,30,D,S & S East,6,27,7,0
1154958,U,South East,Platinum,12,B,London,5,72,12,0
1156179,F,South East,Gold,31,D,London,9,70,8,0
1162020,F,Midlands,Tin,51,F,Wales & West,7,0,2,0
1164910,M,North,Tin,38,E,N West,7,51,10,0
1176846,F,U,Silver,52,F,Unknown,9,31,1,1
1178520,F,Midlands,Silver,51,F,Wales & West,10,58,8,0
1179462,F,Midlands,Tin,38,E,Wales & West,10,73,6,0
1184199,F,South East,Silver,51,F,London,7,38,4,0
1186671,F,South East,Silver,1,A,London,7,71,3,1
1190369,M,South East,Silver,22,C,London,22,50,6,1
1191357,U,Midlands,Silver,U,Unknown,Wales & West,9,0,4,0
1192051,F,Midlands,Silver,22,C,Midlands,6,51,27,0
1195654,F,Midlands,Tin,35,D,Wales & West,10,33,8,0
1196413,U,Midlands,Silver,1,A,Midlands,6,67,4,0
1201212,M,South East,Silver,15,B,S & S East,0,78,8,0
1214039,F,South East,Gold,2,A,London,8,64,4,1
1214934,F,South East,Silver,52,F,London,9,50,4,0
1219553,U,North,Gold,37,E,N West,8,76,15,0
1220462,F,South East,Gold,50,F,London,5,41,3,0
1225006,M,Scottish,Tin,31,D,C Scotland,12,50,7,1
1227807,F,South West,Gold,2,A,S West,13,54,30,0
1237713,F,South East,Silver,14,B,S & S East,13,45,8,0
1238604,F,South East,Silver,10,B,London,0,72,13,0
1245880,U,North,Tin,53,F,N West,7,41,9,0
1246933,M,South East,Silver,13,B,S & S East,10,59,2,0
1250647,U,Midlands,Silver,23,C,Midlands,9,68,5,1
1260758,M,Scottish,Silver,35,D,C Scotland,9,66,9,0
1263749,M,North,Tin,6,B,Yorkshire,5,52,11,0
1265857,M,Midlands,Gold,U,Unknown,Ulster,8,73,6,0
1275305,U,North,Silver,50,F,N West,6,45,9,0
1276417,F,South East,Tin,30,D,S & S East,9,48,5,1
1277200,F,South East,Tin,6,B,S & S East,6,60,5,0
1285750,F,South East,Tin,12,B,London,0,57,8,0
1287850,F,Midlands,Gold,23,C,East,11,56,7,0
1288741,F,Midlands,Tin,44,E,Midlands,26,31,4,1
1289772,F,South West,Tin,30,D,S West,0,0,4,1
1303252,M,South East,Tin,26,C,London,9,55,11,0
1311360,M,Midlands,Silver,17,C,Midlands,8,61,6,0
1312375,F,South East,Gold,27,D,London,0,41,5,0
1314483,M,South East,Silver,2,A,London,9,68,4,0
1317113,F,South East,Tin,21,C,London,14,47,8,0
1318845,F,Midlands,Silver,24,C,Wales & West,3,70,11,0
1322516,M,South East,Silver,7,B,London,10,40,13,0
1329022,M,Midlands,Tin,47,F,Midlands,10,57,4,0
1330489,F,Scottish,Silver,12,B,C Scotland,11,54,9,0
1334131,F,Midlands,Silver,8,B,Midlands,2,0,5,0
1338498,F,South East,Gold,13,B,London,9,44,5,0
1339389,M,North,Silver,35,D,Yorkshire,6,57,8,0
1343181,U,Midlands,Silver,19,C,Midlands,5,0,8,0
1347810,U,Scottish,Gold,35,D,N Scot,9,60,14,0
1348957,F,Scottish,Tin,52,F,N Scot,13,45,4,1
1349643,F,South East,Tin,37,E,London,9,40,6,1
1352482,F,North,Silver,12,B,N West,9,22,3,1
1353292,M,South East,Silver,4,A,London,10,73,27,0
1364707,U,South East,Tin,20,C,S & S East,10,44,5,0
1366874,M,South East,Silver,12,B,London,0,65,5,0
1372475,M,Midlands,Tin,8,B,Wales & West,5,50,4,0
1379240,F,South East,Silver,46,F,S & S East,8,76,3,1
1390333,M,South East,Tin,4,A,London,0,61,5,0
1402684,F,South East,Tin,41,E,London,7,52,9,0
1403478,F,Midlands,Gold,33,D,Midlands,9,48,2,0
1404458,M,Midlands,Tin,28,D,Midlands,9,47,4,0
1407228,F,U,Silver,15,B,Unknown,7,57,1,0
1408038,F,North,Silver,35,D,N West,10,61,3,1
1421123,M,South West,Silver,45,E,S West,8,55,8,0
1422944,U,Scottish,Tin,47,F,C Scotland,10,52,5,0
1425951,F,Midlands,Tin,52,F,Wales & West,0,68,9,0
1438069,F,North,Gold,23,C,Yorkshire,5,76,3,1
1439030,M,Scottish,Silver,3,A,C Scotland,11,47,11,0
1455486,U,Midlands,Gold,38,E,Wales & West,9,66,2,0
1467158,F,Midlands,Gold,19,C,Midlands,12,60,4,0
1468979,M,South East,Tin,25,C,S & S East,8,49,20,0
1469819,F,South East,Gold,33,D,London,9,67,5,1
1470698,M,South East,Silver,20,C,London,4,53,9,0
1472623,F,Midlands,Gold,U,Unknown,East,3,59,4,0
1487604,M,South East,Gold,16,C,London,8,69,8,0
1488600,F,South East,Tin,52,F,London,7,27,4,1
1492209,M,South East,Silver,14,B,London,10,63,7,0
1496115,F,North,Tin,35,D,N East,18,41,5,1
1504347,U,Midlands,Silver,53,F,East,0,36,7,1
1509918,F,South East,Silver,28,D,London,4,64,9,0
1514946,M,South East,Gold,44,E,London,8,45,2,0
1515527,F,South East,Tin,27,D,S & S East,10,46,4,0
1521950,U,North,Tin,5,B,N East,2,50,5,0
1522744,F,Midlands,Tin,42,E,Midlands,6,75,9,0
1523775,M,North,Gold,8,B,Yorkshire,11,62,10,0
1524712,M,North,Gold,5,B,N West,13,64,8,0
1529536,U,South East,Silver,16,C,London,0,39,8,1
1533258,F,Midlands,Silver,19,C,Midlands,11,25,3,1
1535226,F,Midlands,Platinum,25,C,Wales & West,5,46,9,0
1539132,U,North,Tin,37,E,N West,10,39,5,1
1540068,F,South East,Gold,46,F,London,6,56,1,0
1543954,U,North,Gold,38,E,N East,6,56,2,0
1544969,M,Scottish,Gold,23,C,N Scot,6,62,4,0
1550918,M,South East,Gold,49,F,S & S East,5,77,16,0
1562843,F,Midlands,Tin,19,C,Midlands,6,48,5,0
1587250,F,North,Silver,24,C,N West,4,29,7,1
1589334,M,Midlands,Tin,22,C,Wales & West,9,63,5,0
1593706,U,Midlands,Silver,32,D,Wales & West,5,46,5,0
1598333,U,Midlands,Tin,33,D,Midlands,9,58,5,1
1611844,F,North,Silver,16,C,N West,12,68,31,0
1613685,F,South East,Gold,38,E,S & S East,10,0,6,1
1617974,F,South East,Silver,12,B,London,7,36,8,1
